variable,mean_auc_drop,std_auc_drop
Contract,0.06479940065617815,0.0056333169971304504
tenure,0.02398408638817846,0.0017947477433202228
InternetService,0.019115192849208172,0.005201605116461091
TotalCharges,0.01272559353122008,0.0018985971504312132
OnlineSecurity,0.006470717404221204,0.0020016094009717078
TechSupport,0.003426722467643173,0.0013125808575722689
PaperlessBilling,0.002178433955927517,0.0013699061399812592
PaymentMethod,0.0016426412462217765,0.001202981508031315
StreamingMovies,0.0015980779663644419,0.0012255123860441045
MonthlyCharges,0.001186416595623707,0.0020057439220634555
OnlineBackup,0.0006732284481644757,0.0017820496286704347
StreamingTV,0.000542251156061846,0.001155151988366782
MultipleLines,0.0004913585987754154,0.0005693499641342668
Dependents,0.0004092071611253134,0.0004160502068490259
SeniorCitizen,0.0003628355162882069,0.00034529415274660416
Partner,0.00023405409594667859,0.0004997274524936758
gender,-6.058022682065012e-05,0.000597763441489113
PhoneService,-0.0001206437779327718,0.00020959639652024843
DeviceProtection,-0.0006723242656746842,0.0003658315093289253
